Temperature,Humidity,Visibility,Air Pressure,Wind Speed
27.845,56,13.488725841088046,1016.0,3.9347764424534053
30.314999999999998,41,13.251983416845622,1016.0,5.941330401203637
28.975,45,14.141786964129484,1016.0,5.499873259489912
28.700000000000003,42,13.854402787719717,1016.0,5.324922441406188
28.045,52,13.821470114531138,1017.5,5.783164782934331
25.92,65,9.999726596675416,1018.0,7.264851666268989
28.119999999999997,51,13.773935218324981,1015.5,4.1630217397730584
30.46,41,13.60430088284419,1015.5,5.275900796211459
29.92,40,14.24773075240595,1016.0,5.483627927203796
28.689999999999998,42,13.973084685437048,1016.5,5.36143442575625
28.175,52,13.98644416607015,1018.0,5.867249238572072
26.37,66,9.999726596675416,1018.0,7.600728744134256
28.060000000000002,52,13.789780183727034,1016.0,4.24321173231793
30.475,40,13.551484331504016,1015.5,5.480403922429015
30.135,35,14.221322476735862,1015.5,5.850403229483814
27.615000000000002,48,13.961589318380657,1016.5,5.833114312293539
27.415,54,13.739759802751928,1018.0,5.981778995750152
26.88,64,9.999726596675416,1018.0,7.558539131472203
31.335,41,13.86030581404597,1015.0,5.640558290142899
29.94,31,14.303032788515072,1016.0,7.420394336384845
27.115000000000002,51,13.868072953948937,1017.0,5.511224680253984
27.795,49,14.06100870913863,1018.0,5.313394007919086
28.134999999999998,57,13.679176111508788,1018.0,8.504281606871869
26.82,65,9.999726596675416,1016.0,8.022424242424243
29.71,32,14.208584367294996,1016.0,7.586337013433549
26.705,51,13.573232323232324,1017.0,5.626145200124605
27.75,49,13.918404020520162,1018.5,5.677432270858188
27.915,54,13.32903344468305,1018.0,8.920371522768368
26.15,58,9.999726596675416,1016.0,8.27941620933747
26.95,52,9.999726596675416,1013.0,7.576111707627455
31.29,35,13.922132247673586,1015.5,6.4753284467668815
27.945,44,14.323227352262785,1016.5,6.9757596334579395
27.314999999999998,49,13.890131631273363,1018.0,6.251577637524854
28.325000000000003,50,14.141476278533364,1018.5,7.175566122768366
28.005,54,13.638165612821124,1017.5,9.039047339558314
26.95,52,9.999726596675416,1013.0,7.576111707627455
29.835,31,14.364237850950449,1015.5,7.53390531164665
27.11,50,13.972152628648692,1017.5,5.3654221131869875
28.175,48,14.250216237174898,1019.0,6.19990213379729
28.310000000000002,53,13.825198341684562,1019.0,9.253073566483735
28.61,53,13.83948987910602,1016.0,9.463851821474588
26.87,53,9.999726596675416,1014.0,7.517615724170842
29.689999999999998,36,14.30582895888014,1015.0,7.684656538818634
26.95,49,13.771139047959913,1017.0,5.376478846520321
28.325000000000003,47,14.154835759166467,1019.0,5.800889400217398
28.275,53,13.652146464646464,1019.0,9.486034923661814
28.43,52,13.735410204406268,1016.0,9.498137152127574
27.0,54,9.999726596675416,1014.0,7.41140201224847
30.065,32,14.3334799769347,1015.0,7.847215621628358
26.950000000000003,50,13.81152817545534,1017.0,5.356815763310268
28.314999999999998,47,14.127806112304144,1019.0,5.814009717654233
28.14,53,13.620767219438479,1019.0,9.563142823661815
28.435000000000002,54,13.589387974230494,1016.0,9.600429163403058
27.02,54,9.999726596675416,1014.0,7.492470571860336
